"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status","Habitat_Category","IsMigrate","cMass"
"1","Abroscopus_albogularis","Sylviidae","Passeriformes","Abroscopus albogularis",9,4.9,2.7,2.3,15.3,43.4,5.7,37.3,13.3,38.7,4.8,"Forest","1","1","Carnivore","Invertivore","Insessorial",14.97,31.56,24.78,105.57,1704650.6,"Extant","Forested_Vegetated",1,-0.902198270972569
"2","Abroscopus_schisticeps","Sylviidae","Passeriformes","Abroscopus schisticeps",9,4.7,2.6,2.3,16.5,47.1,7.6,39.5,16.1,47.5,4.7,"Forest","1","1","Carnivore","Invertivore","Insessorial",20.19,31.12,26.7,95.58,909217.05,"Extant","Forested_Vegetated",1,-0.923251680170401
"3","Abroscopus_superciliaris","Sylviidae","Passeriformes","Abroscopus superciliaris",12.3,7.4,3.1,2.8,16.6,51.2,6.5,44.5,12.7,42.4,6.5,"Shrubland","1","1","Carnivore","Invertivore","Insessorial",-8.11,28.81,9.89,105.2,2493437.47,"Extant","Arid_Open",1,-0.599012011984823
"4","Achaetops_pycnopygius","Sylviidae","Passeriformes","Achaetops pycnopygius",20.1,9.5,3.3,4.6,24.2,68.1,4.4,62.7,6.6,79.4,28.3,"Rock","3","1","Carnivore","Invertivore","Insessorial",-24.27,-8.76,-18.6,15.07,423641.18,"Extant","Arid_Open",1,0.872047615762778
"5","Acrocephalus_aedon","Sylviidae","Passeriformes","Acrocephalus aedon",17.8,10.8,4.9,5.1,26,78.4,16.9,61.6,21.6,78.6,22.4,"Shrubland","3","3","Carnivore","Invertivore","Insessorial",38.72,59.51,50.11,110.59,6900163.32,"Extant","Arid_Open",0,0.63824676997458
"6","Acrocephalus_aequinoctialis","Sylviidae","Passeriformes","Acrocephalus aequinoctialis",20.9,11,3.4,3.5,24.5,73.5,14.3,59.2,19.5,63.5,25,"Shrubland","3","1","Carnivore","Invertivore","Generalist",1.78,4.7,2.11,-157.63,229.11,"Extant","Arid_Open",1,0.748061635981787
"7","Acrocephalus_agricola","Sylviidae","Passeriformes","Acrocephalus agricola",13.6,7.8,3.2,2.8,21.1,55.2,10.1,44.7,18.4,54.9,9.6,"Wetland","3","3","Carnivore","Invertivore","Insessorial",35.39,56.93,46.5,71.71,6560153.7,"Extant","Aquatic_Coastal",0,-0.209051090412623
"8","Acrocephalus_arundinaceus","Sylviidae","Passeriformes","Acrocephalus arundinaceus",21.9,12.9,4.6,5.1,27.3,91.1,24.7,66.7,26.8,75,30,"Wetland","3","3","Carnivore","Invertivore","Insessorial",23.84,63.2,47.42,70.38,14642510.44,"Extant","Aquatic_Coastal",0,0.930383192775742
"9","Acrocephalus_atyphus","Sylviidae","Passeriformes","Acrocephalus atyphus",26.7,15,4.7,4.9,28.1,88.3,16.3,71.6,18.6,78.2,30,"Shrubland","3","1","Carnivore","Invertivore","Insessorial",-21.73,-14.09,-16.91,-144.1,611.16,"Extant","Arid_Open",1,0.930383192775742
"10","Acrocephalus_australis","Sylviidae","Passeriformes","Acrocephalus australis",19.9,10.6,3.8,4.1,24,71.6,16.3,55,22.9,67,17.7,"Wetland","3","3","Carnivore","Invertivore","Insessorial",-43.31,18.84,-21.31,137.46,5363722.05,"Extant","Aquatic_Coastal",0,0.402750450693369
"11","Acrocephalus_baeticatus","Sylviidae","Passeriformes","Acrocephalus baeticatus",19.5,8.6,3,2.9,20.5,59.1,10.7,47.9,18.2,49.2,10.2,"Wetland","3","3","Carnivore","Invertivore","Insessorial",NA,NA,NA,NA,NA,"Extant","Aquatic_Coastal",0,-0.148426468596189
"12","Acrocephalus_bistrigiceps","Sylviidae","Passeriformes","Acrocephalus bistrigiceps",13.4,7.7,3,2.6,20.1,52.7,11.4,40.7,21.9,50.4,8.7,"Wetland","3","3","Carnivore","Invertivore","Insessorial",29.02,54.71,43.82,124.82,4170337.09,"Extant","Aquatic_Coastal",0,-0.307491163225876
"13","Acrocephalus_brevipennis","Sylviidae","Passeriformes","Acrocephalus brevipennis",19.3,11.9,4,3.5,26.3,65.9,10.6,55.4,16,61.5,16,"Shrubland","2","1","Carnivore","Invertivore","Insessorial",14.88,16.68,15.18,-23.83,1324.46,"Extant","Arid_Open",1,0.301774533353367
"14","Acrocephalus_caffer","Sylviidae","Passeriformes","Acrocephalus caffer",33.1,19,5,5.1,30.7,93.2,16.6,76.5,17.9,81.8,43.8,"Forest","2","1","Carnivore","Invertivore","Insessorial",-17.78,-17.47,-17.61,-149.56,401.36,"Extant","Forested_Vegetated",1,1.30881962849599
"15","Acrocephalus_concinens","Sylviidae","Passeriformes","Acrocephalus concinens",13.7,8,3.3,2.9,22,55.6,9.7,45.5,17.6,56,8.3,"Wetland","2","2","Carnivore","Invertivore","Insessorial",23.52,41.88,33.61,105.24,2146677.25,"Extant","Aquatic_Coastal",0,-0.354558674083862
