Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Accipiter_albogularis,Accipitridae,Accipitriformes,Accipiter albogularis,27.7,17.8,10.6,14.7,62,235.2,81.8,159.5,33.9,169,248.8,Forest,1,2,Carnivore,Vertivore,Insessorial,-11.73,-4.02,-8.15,158.49,37461.21,Extant
Accipiter_badius,Accipitridae,Accipitriformes,Accipiter badius,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,Shrubland,2,3,Carnivore,Vertivore,Insessorial,-29.47,46.39,8.23,44.98,22374973,Extant
Accipiter_bicolor,Accipitridae,Accipitriformes,Accipiter bicolor,26.5,14.8,9.2,13.5,57.5,231.8,46.4,189.6,19.8,188.4,287.5,Woodland,2,2,Carnivore,Vertivore,Generalist,NA,NA,NA,NA,NA,Extant
Accipiter_brachyurus,Accipitridae,Accipitriformes,Accipiter brachyurus,22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,142,Forest,1,2,Carnivore,Vertivore,Insessorial,-6.31,-4.08,-5.45,150.68,35580.71,Extant
Accipiter_brevipes,Accipitridae,Accipitriformes,Accipiter brevipes,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,Forest,1,3,Carnivore,Vertivore,Generalist,31.19,55.86,45.24,45.33,2936751.8,Extant
Accipiter_butleri,Accipitridae,Accipitriformes,Accipiter butleri,20,11.9,6.6,12,48.7,166,42.9,123.1,25.8,127,122,Forest,1,1,Carnivore,Vertivore,Insessorial,7.87,9.26,8.42,93.17,327.84,Extant
Accipiter_castanilius,Accipitridae,Accipitriformes,Accipiter castanilius,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24,135.4,157.5,Forest,1,2,Carnivore,Vertivore,Insessorial,-10.36,10.12,0.71,18.29,2096401.63,Extant
Accipiter_chilensis,Accipitridae,Accipitriformes,Accipiter chilensis,23.2,12.6,8,11.8,58.8,227,69.2,156.2,30.6,183.8,368,Woodland,2,2,Carnivore,Vertivore,Generalist,NA,NA,NA,NA,NA,Extant
Accipiter_chionogaster,Accipitridae,Accipitriformes,Accipiter chionogaster,18.2,10.5,7.5,9.7,51.8,181,60.5,124.2,32.7,137,130.6,Forest,1,3,Carnivore,Vertivore,Generalist,NA,NA,NA,NA,NA,Extant
Accipiter_cirrocephalus,Accipitridae,Accipitriformes,Accipiter cirrocephalus,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,165.7,Forest,1,2,Carnivore,Vertivore,Generalist,-43.64,0.04,-23.36,137.81,5488639.45,Extant
