"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"1","Terathopius_ecaudatus","Accipitridae","Accipitriformes","Terathopius ecaudatus",52.5,35.9,16.3,25.3,65.1,500.4,233.2,266,46.8,109,2200,"Woodland",2,"sedentary","Carnivore","Omnivore","Generalist",-28.74,18.59,-1.02,23.14,14023477.79,"Extant"
"2","Accipiter_melanochlamys","Accipitridae","Accipitriformes","Accipiter melanochlamys",25.9,15.6,11,13.9,62.7,228.6,75,156.2,32.4,164.8,265,"Forest",1,"sedentary","Carnivore","Vertivore","Generalist",-10.07,-0.95,-5.31,141.87,115449.94,"Extant"
"3","Buteo_galapagoensis","Accipitridae","Accipitriformes","Buteo galapagoensis",40.9,26,13.9,19.3,77,402.6,176.8,229.2,43.6,235.2,1137.4,"Woodland",1,"sedentary","Carnivore","Vertivore","Aerial",-1.41,0.65,-0.44,-91.13,5639.54,"Extant"
"4","Leucopternis_plumbeus","Accipitridae","Accipitriformes","Leucopternis plumbeus",32.1,21,11.2,16.7,58.9,238,74.2,164.8,31,145.4,482,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-4.13,9.63,4.34,-77.68,162116.76,"Extant"
"5","Buteo_albicaudatus","Accipitridae","Accipitriformes","Buteo albicaudatus",37.4,22.3,13.8,16.4,87.3,427,148.1,279,34.8,199,885,"Grassland",3,"sedentary","Carnivore","Vertivore","Generalist",-40.32,29.69,-11.82,-58.97,9466789.11,"Extant"
"6","Gymnogyps_californianus","Cathartidae","Accipitriformes","Gymnogyps californianus",96.5,65.3,33.2,39,115.8,788,323.5,464.5,41.1,350.8,8442.7,"Shrubland",3,"sedentary","Scavenger","Scavenger","Terrestrial",30.72,37.44,35.94,-117.33,101747.84,"Extant"
"7","Cathartes_burrovianus","Cathartidae","Accipitriformes","Cathartes burrovianus",50.4,25.2,13.1,15.4,49,485.8,133.4,351.1,27.5,240.4,935,"Grassland",3,"sedentary","Scavenger","Scavenger","Terrestrial",-34.98,22.8,-7.88,-57.4,7839868.54,"Extant"
"8","Spilornis_rufipectus","Accipitridae","Accipitriformes","Spilornis rufipectus",34.6,25.1,13.3,17.4,64.3,328.6,105.5,221.5,32.4,214.4,705,"Forest",1,"sedentary","Carnivore","Vertivore","Insessorial",-6.5,2.82,-1.9,121.2,115936.18,"Extant"
"9","Haliaeetus_sanfordi","Accipitridae","Accipitriformes","Haliaeetus sanfordi",59.5,38.9,18.6,26.9,83,523.2,186.8,336.4,35.7,265,1980,"Forest",2,"sedentary","Carnivore","Omnivore","Generalist",-10.85,-5.01,-8.09,158.3,36124.13,"Extant"
"10","Haliaeetus_vocifer","Accipitridae","Accipitriformes","Haliaeetus vocifer",58.4,42.2,16.8,25.1,88.2,548.2,184.2,366,33.5,228,3400,"Wetland",2,"sedentary","Carnivore","Aquatic predator","Insessorial",-34.84,18.6,-0.96,20.97,15637883.11,"Extant"
