"","x"
"1","Terathopius ecaudatus"
"2","Accipiter melanochlamys"
"3","Buteo galapagoensis"
"4","Leucopternis plumbeus"
"5","Buteo albicaudatus"
"6","Gymnogyps californianus"
"7","Cathartes burrovianus"
"8","Spilornis rufipectus"
"9","Haliaeetus sanfordi"
"10","Haliaeetus vocifer"
"11","Spizaetus ornatus"
"12","Haliaeetus vociferoides"
"13","Nisaetus lanceolatus"
"14","Helicolestes hamatus"
"15","Circus ranivorus"
"16","Accipiter superciliosus"
"17","Accipiter gundlachi"
"18","Stephanoaetus coronatus"
"19","Geranoaetus melanoleucus"
"20","Gyps africanus"
"21","Urotriorchis macrourus"
"22","Hieraaetus morphnoides"
"23","Leucopternis occidentalis"
"24","Eutriorchis astur"
"25","Aquila gurneyi"
"26","Ictinia plumbea"
"27","Spilornis elgini"
"28","Spilornis cheela"
"29","Erythrotriorchis buergersi"
"30","Accipiter rhodogaster"
"31","Buteo magnirostris"
"32","Nisaetus cirrhatus"
"33","Aquila wahlbergi"
"34","Circus macrosceles"
"35","Spilornis kinabaluensis"
"36","Pernis ptilorhyncus"
"37","Chelictinia riocourii"
"38","Accipiter madagascariensis"
"39","Gyps bengalensis"
"40","Harpyhaliaetus solitarius"
"41","Leucopternis schistaceus"
"42","Spizaetus melanoleucus"
"43","Accipiter rufiventris"
"44","Aviceda subcristata"
"45","Accipiter poliocephalus"
"46","Geranospiza caerulescens"
"47","Butastur rufipennis"
"48","Buteo auguralis"
"49","Spizaetus tyrannus"
"50","Buteogallus gundlachii"
"51","Accipiter albogularis"
"52","Accipiter badius"
"53","Accipiter bicolor"
"54","Accipiter brachyurus"
"55","Accipiter brevipes"
"56","Accipiter castanilius"
"57","Accipiter chilensis"
"58","Accipiter chionogaster"
"59","Accipiter cirrocephalus"
"60","Accipiter collaris"
"61","Accipiter cooperii"
"62","Accipiter erythronemius"
"63","Accipiter gentilis"
"64","Accipiter gularis"
"65","Accipiter nisus"
"66","Accipiter poliogaster"
"67","Accipiter soloensis"
"68","Accipiter striatus"
"69","Accipiter ventralis"
"70","Accipiter virgatus"
"71","Aquila adalberti"
"72","Aquila africanus"
"73","Aquila audax"
"74","Aquila chrysaetos"
"75","Aquila clanga"
"76","Aquila fasciatus"
"77","Aquila hastata"
"78","Aquila heliaca"
"79","Aquila nipalensis"
"80","Aquila pomarina"
"81","Aquila rapax"
"82","Aviceda leuphotes"
"83","Butastur indicus"
"84","Buteo albigula"
"85","Buteo buteo"
"86","Buteo jamaicensis"
"87","Buteo lagopus"
"88","Buteo lineatus"
"89","Buteo platypterus"
"90","Buteo polyosoma"
"91","Buteo regalis"
"92","Buteo rufinus"
"93","Buteo rufofuscus"
"94","Buteo swainsoni"
"95","Buteo ventralis"
"96","Chondrohierax uncinatus"
"97","Chondrohierax wilsonii"
"98","Circaetus gallicus"
"99","Circus aeruginosus"
"100","Circus approximans"
"101","Circus assimilis"
"102","Circus buffoni"
"103","Circus cinereus"
"104","Circus cyaneus"
"105","Circus macrourus"
"106","Circus melanoleucos"
"107","Circus pygargus"
"108","Circus spilonotus"
"109","Elanoides forficatus"
"110","Elanus axillaris"
"111","Elanus caeruleus"
"112","Elanus leucurus"
"113","Elanus scriptus"
"114","Gypaetus barbatus"
"115","Haliaeetus albicilla"
"116","Haliaeetus leucocephalus"
"117","Haliaeetus leucoryphus"
"118","Haliaeetus pelagicus"
"119","Hamirostra melanosternon"
"120","Harpagus diodon"
"121","Harpyhaliaetus coronatus"
"122","Hieraaetus pennatus"
"123","Ictinia mississippiensis"
"124","Melierax gabar"
"125","Milvus migrans"
"126","Milvus milvus"
"127","Neophron percnopterus"
"128","Pandion haliaetus"
"129","Parabuteo unicinctus"
"130","Pernis apivorus"
"131","Rostrhamus sociabilis"
"132","Sagittarius serpentarius"
"133","Torgos tracheliotos"
"134","Cathartes aura"
"135","Coragyps atratus"
"136","Vultur gryphus"
