Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Aix_galericulata,Anatidae,Anseriformes,Aix galericulata,33,20.9,13.5,10.6,34.8,222.2,111.1,110.6,50.1,94.6,567,Forest,3,3,Herbivore,Herbivore aquatic,Generalist,21.9,54.31,45.58,131.94,1904941.91,Extant
Aix_sponsa,Anatidae,Anseriformes,Aix sponsa,38.6,24.7,15.1,11.4,32.9,220.5,108.5,111,49.4,106.8,657.6,Wetland,3,1,Herbivore,Omnivore,Generalist,19.83,55.22,42.14,-92.18,6191757.66,Extant
Alopochen_aegyptiaca,Anatidae,Anseriformes,Alopochen aegyptiaca,51.6,30.1,20.8,16.7,75.8,356,143,233.2,38,128.8,1873,Wetland,3,2,Herbivore,Omnivore,Generalist,-34.84,24.57,-2.2,23.68,17452607.3,Extant
Amazonetta_brasiliensis,Anatidae,Anseriformes,Amazonetta brasiliensis,38.9,28.4,14.9,12.8,32.2,180.6,61.9,126.6,32.9,90.1,500,Wetland,3,1,Herbivore,Herbivore aquatic,Aquatic,-35.57,9.71,-14.65,-53.14,8747518.75,Extant
Anas_acuta,Anatidae,Anseriformes,Anas acuta,48.1,31.9,14.5,14.8,36.9,256.7,148.4,107.8,57.8,124.7,944.6,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,38.65,75.28,59.6,26.95,28403500.77,Extant
Anas_americana,Anatidae,Anseriformes,Anas americana,44.9,26.9,16,12.3,34.6,253.2,135.4,116.6,53.7,93.8,754.6,Wetland,3,3,Herbivore,Omnivore,Terrestrial,35.79,70.64,55.41,-116.72,8979266.49,Extant
Anas_andium,Anatidae,Anseriformes,Anas andium,40.1,32.8,14.8,12.6,31.8,224.2,101.7,124.8,44.9,82.2,434,Wetland,3,2,Omnivore,Herbivore aquatic,Aquatic,-4.95,9.92,4.02,-75.54,410562.88,Extant
Anas_aucklandica,Anatidae,Anseriformes,Anas aucklandica,44.8,27.3,13.7,12.5,33.6,134.8,49.2,85,36.7,75.2,499.1,Wetland,3,2,Carnivore,Aquatic predator,Aquatic,-50.88,-50.49,-50.76,166.1,42.5,Extant
Anas_bahamensis,Anatidae,Anseriformes,Anas bahamensis,41.5,31.8,15,12.8,34.1,205.5,92.3,113.2,44.9,87.2,490,Wetland,3,2,Omnivore,Herbivore aquatic,Aquatic,-40.02,27.23,-21.2,-62.22,2991584.7,Extant
Anas_bernieri,Anatidae,Anseriformes,Anas bernieri,35.3,27.4,13.2,11.1,31.5,194.7,73,121.7,37.5,77,378.5,Wetland,3,1,Herbivore,Herbivore aquatic,Generalist,-24.35,-11.95,-17.09,45.87,53434.31,Extant
Anas_capensis,Anatidae,Anseriformes,Anas capensis,39.6,31.4,14.8,13.4,32.8,193.2,93.6,99.6,48.5,62,402,Wetland,3,2,Omnivore,Aquatic predator,Aquatic,-34.84,15.49,-18.66,23.02,4317287.05,Extant
Anas_castanea,Anatidae,Anseriformes,Anas castanea,37.7,28.6,15,12.4,33.9,202,95.1,114.3,45.5,87.7,624,Wetland,3,2,Omnivore,Aquatic predator,Aquatic,-43.64,-15.66,-30.02,139.43,3131751.24,Extant
Anas_chlorotis,Anatidae,Anseriformes,Anas chlorotis,42.7,31.4,18.2,14.2,35.6,196.6,94.1,99.9,48.5,77.8,499.1,Wetland,3,1,Herbivore,Herbivore aquatic,Aquatic,-45.98,-35.11,-39.13,172.17,936.42,Extant
Anas_clypeata,Anatidae,Anseriformes,Anas clypeata,68.8,47.9,18.6,18.7,33.8,226.4,130.2,94.2,58,75.1,612.6,Wetland,3,3,Omnivore,Aquatic predator,Aquatic,25.56,71.39,55.88,22.06,27068888.24,Extant
Anas_crecca,Anatidae,Anseriformes,Anas crecca,36.2,29.2,11.8,11.4,26.4,178.8,95.1,84.2,53.1,61.5,341.9,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,32,75.29,58.18,22.29,31784516.68,Extant
Anas_cyanoptera,Anatidae,Anseriformes,Anas cyanoptera,50.5,33.8,16,13.9,30.1,187.5,94.8,90.5,51,70.4,377.5,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,-55.98,52.1,11.06,-94.79,6567683.13,Extant
Anas_discors,Anatidae,Anseriformes,Anas discors,47.3,31.8,15.6,12.6,29.1,178.3,98.7,84.6,53.8,66.7,359.4,Wetland,3,3,Omnivore,Herbivore aquatic,Aquatic,25.87,67.07,48.81,-105.19,8349222.13,Extant
Anas_eatoni,Anatidae,Anseriformes,Anas eatoni,31.6,24.3,10.3,11.9,27.5,203.2,111.8,91.4,55.1,82.5,944.6,Wetland,3,3,Omnivore,Omnivore,Aquatic,-50.02,-45.97,-49.18,68.72,7506.03,Extant
Anas_erythrorhyncha,Anatidae,Anseriformes,Anas erythrorhyncha,43.8,32.3,15.9,13.9,33,215,97.6,115,45.9,77.2,558.8,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,-34.84,13.51,-11.83,29.39,10763443.79,Extant
Anas_falcata,Anatidae,Anseriformes,Anas falcata,46.1,31.6,16.2,13,36.4,238.3,129.5,108.5,54.5,63.7,645.8,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,40.23,64.8,54.68,122.38,5490157.81,Extant
Anas_flavirostris,Anatidae,Anseriformes,Anas flavirostris,35.3,27.8,13.3,11.7,27.8,191,93.3,95.7,49.3,74.4,434,Wetland,3,2,Omnivore,Herbivore aquatic,Aquatic,-55.98,-6.56,-34.05,-66.68,3942276.35,Extant
Anas_formosa,Anatidae,Anseriformes,Anas formosa,37.9,28.8,14.7,13,32.1,206,116.3,87.7,57,77.2,434,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,54.64,73.56,64.58,140.97,3744079.85,Extant
