Phylo,Family,Order,Scientific_name,Mass
Accipiter_albogularis,Accipitridae,Accipitriformes,Accipiter albogularis,248.8
Accipiter_badius,Accipitridae,Accipitriformes,Accipiter badius,131.2
Accipiter_bicolor,Accipitridae,Accipitriformes,Accipiter bicolor,287.5
Accipiter_brachyurus,Accipitridae,Accipitriformes,Accipiter brachyurus,142
Accipiter_brevipes,Accipitridae,Accipitriformes,Accipiter brevipes,186.5
Accipiter_butleri,Accipitridae,Accipitriformes,Accipiter butleri,122
Accipiter_castanilius,Accipitridae,Accipitriformes,Accipiter castanilius,157.5
Accipiter_chilensis,Accipitridae,Accipitriformes,Accipiter chilensis,368
Accipiter_chionogaster,Accipitridae,Accipitriformes,Accipiter chionogaster,130.6
Accipiter_cirrocephalus,Accipitridae,Accipitriformes,Accipiter cirrocephalus,165.7
Accipiter_collaris,Accipitridae,Accipitriformes,Accipiter collaris,97.8
Accipiter_cooperii,Accipitridae,Accipitriformes,Accipiter cooperii,429.7
Accipiter_erythrauchen,Accipitridae,Accipitriformes,Accipiter erythrauchen,156
Accipiter_erythronemius,Accipitridae,Accipitriformes,Accipiter erythronemius,125
Accipiter_erythropus,Accipitridae,Accipitriformes,Accipiter erythropus,111.2
Accipiter_fasciatus,Accipitridae,Accipitriformes,Accipiter fasciatus,358.7
Accipiter_francesiae,Accipitridae,Accipitriformes,Accipiter francesiae,136.8
Accipiter_gentilis,Accipitridae,Accipitriformes,Accipiter gentilis,866
Accipiter_griseiceps,Accipitridae,Accipitriformes,Accipiter griseiceps,251.8
Accipiter_gularis,Accipitridae,Accipitriformes,Accipiter gularis,120.7
Accipiter_gundlachi,Accipitridae,Accipitriformes,Accipiter gundlachi,675
Accipiter_haplochrous,Accipitridae,Accipitriformes,Accipiter haplochrous,198.4
Accipiter_henicogrammus,Accipitridae,Accipitriformes,Accipiter henicogrammus,358.7
Accipiter_henstii,Accipitridae,Accipitriformes,Accipiter henstii,1050
Accipiter_imitator,Accipitridae,Accipitriformes,Accipiter imitator,222.5
Accipiter_luteoschistaceus,Accipitridae,Accipitriformes,Accipiter luteoschistaceus,214
Accipiter_madagascariensis,Accipitridae,Accipitriformes,Accipiter madagascariensis,180.4
Accipiter_melanochlamys,Accipitridae,Accipitriformes,Accipiter melanochlamys,265
Accipiter_melanoleucus,Accipitridae,Accipitriformes,Accipiter melanoleucus,699
Accipiter_meyerianus,Accipitridae,Accipitriformes,Accipiter meyerianus,763.5
Accipiter_minullus,Accipitridae,Accipitriformes,Accipiter minullus,87.4
Accipiter_nanus,Accipitridae,Accipitriformes,Accipiter nanus,117
Accipiter_nisus,Accipitridae,Accipitriformes,Accipiter nisus,220.8
Accipiter_novaehollandiae,Accipitridae,Accipitriformes,Accipiter novaehollandiae,326.1
Accipiter_ovampensis,Accipitridae,Accipitriformes,Accipiter ovampensis,195
Accipiter_poliocephalus,Accipitridae,Accipitriformes,Accipiter poliocephalus,214.8
Accipiter_poliogaster,Accipitridae,Accipitriformes,Accipiter poliogaster,315
Accipiter_princeps,Accipitridae,Accipitriformes,Accipiter princeps,214.8
Accipiter_rhodogaster,Accipitridae,Accipitriformes,Accipiter rhodogaster,172.7
Accipiter_rufitorques,Accipitridae,Accipitriformes,Accipiter rufitorques,209
Accipiter_rufiventris,Accipitridae,Accipitriformes,Accipiter rufiventris,198
Accipiter_soloensis,Accipitridae,Accipitriformes,Accipiter soloensis,164.8
Accipiter_striatus,Accipitridae,Accipitriformes,Accipiter striatus,130.6
Accipiter_superciliosus,Accipitridae,Accipitriformes,Accipiter superciliosus,96.4
Accipiter_tachiro,Accipitridae,Accipitriformes,Accipiter tachiro,290.2
Accipiter_toussenelii,Accipitridae,Accipitriformes,Accipiter toussenelii,249.3
Accipiter_trinotatus,Accipitridae,Accipitriformes,Accipiter trinotatus,146
Accipiter_trivirgatus,Accipitridae,Accipitriformes,Accipiter trivirgatus,265
Accipiter_ventralis,Accipitridae,Accipitriformes,Accipiter ventralis,233
Accipiter_virgatus,Accipitridae,Accipitriformes,Accipiter virgatus,117
Aegypius_monachus,Accipitridae,Accipitriformes,Aegypius monachus,9320.6
Aquila_adalberti,Accipitridae,Accipitriformes,Aquila adalberti,2958
Aquila_africanus,Accipitridae,Accipitriformes,Aquila africanus,1047
Aquila_audax,Accipitridae,Accipitriformes,Aquila audax,3449.9
Aquila_chrysaetos,Accipitridae,Accipitriformes,Aquila chrysaetos,4248
Aquila_clanga,Accipitridae,Accipitriformes,Aquila clanga,2154.3
Aquila_fasciatus,Accipitridae,Accipitriformes,Aquila fasciatus,1936.5
Aquila_gurneyi,Accipitridae,Accipitriformes,Aquila gurneyi,3060
Aquila_hastata,Accipitridae,Accipitriformes,Aquila hastata,1359.4
Aquila_heliaca,Accipitridae,Accipitriformes,Aquila heliaca,3125.2
Aquila_nipalensis,Accipitridae,Accipitriformes,Aquila nipalensis,2714.3
Aquila_pomarina,Accipitridae,Accipitriformes,Aquila pomarina,1359.4
Aquila_rapax,Accipitridae,Accipitriformes,Aquila rapax,2236.1
Aquila_verreauxii,Accipitridae,Accipitriformes,Aquila verreauxii,4195
Aquila_wahlbergi,Accipitridae,Accipitriformes,Aquila wahlbergi,640
Aviceda_cuculoides,Accipitridae,Accipitriformes,Aviceda cuculoides,277
Aviceda_jerdoni,Accipitridae,Accipitriformes,Aviceda jerdoni,363
Aviceda_leuphotes,Accipitridae,Accipitriformes,Aviceda leuphotes,194
Aviceda_madagascariensis,Accipitridae,Accipitriformes,Aviceda madagascariensis,277
Aviceda_subcristata,Accipitridae,Accipitriformes,Aviceda subcristata,322.7
Busarellus_nigricollis,Accipitridae,Accipitriformes,Busarellus nigricollis,766.1
Butastur_indicus,Accipitridae,Accipitriformes,Butastur indicus,414.6
Butastur_liventer,Accipitridae,Accipitriformes,Butastur liventer,338
Butastur_rufipennis,Accipitridae,Accipitriformes,Butastur rufipennis,334.9
Butastur_teesa,Accipitridae,Accipitriformes,Butastur teesa,325
Buteo_albicaudatus,Accipitridae,Accipitriformes,Buteo albicaudatus,885
Buteo_albigula,Accipitridae,Accipitriformes,Buteo albigula,525
Buteo_albonotatus,Accipitridae,Accipitriformes,Buteo albonotatus,745.9
Buteo_archeri,Accipitridae,Accipitriformes,Buteo archeri,1099.2
Buteo_augur,Accipitridae,Accipitriformes,Buteo augur,1099.2
Buteo_auguralis,Accipitridae,Accipitriformes,Buteo auguralis,663.9
Buteo_brachypterus,Accipitridae,Accipitriformes,Buteo brachypterus,511
Buteo_brachyurus,Accipitridae,Accipitriformes,Buteo brachyurus,496
Buteo_buteo,Accipitridae,Accipitriformes,Buteo buteo,759.1
Buteo_galapagoensis,Accipitridae,Accipitriformes,Buteo galapagoensis,1137.4
Buteo_hemilasius,Accipitridae,Accipitriformes,Buteo hemilasius,1358.9
Buteo_jamaicensis,Accipitridae,Accipitriformes,Buteo jamaicensis,1101.2
Buteo_lagopus,Accipitridae,Accipitriformes,Buteo lagopus,949.8
