"","Phylo","Species","Family","Order","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"1","Phlegopsis nigromaculata","Phlegopsis_nigromaculata","Thamnophilidae","Passeriformes",21.1,11.6,4.7,5.7,30.8,86.8,9.7,78,11.1,57.6,45.2,"Forest",1,"2","Carnivore","Invertivore","Insessorial",-17.79,3.49,-6.92,-62.91,3887704.81,"Extant"
"2","Celeus flavus","Celeus_flavus","Picidae","Piciformes",28.5,22.5,8.3,8.9,25.8,140.2,26.4,114.5,18.7,91,147.3,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-20.41,10.77,-5.36,-62.16,6163251.01,"Extant"
"3","Xenodacnis parina","Xenodacnis_parina","Thraupidae","Passeriformes",13.1,4.9,2.7,3.4,20.9,60.2,9.7,50.6,16,52.8,11.5,"Forest",2,"1","Omnivore","Invertivore","Insessorial",-16.65,-2.56,-11.98,-74.53,76334.26,"Extant"
"4","Sylviorthorhynchus desmursii","Sylviorthorhynchus_desmursii","Furnariidae","Passeriformes",17.4,10.6,2.5,2.6,22.1,50.5,6.8,43.7,13.5,158.1,10.9,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-53.1,-32.22,-43.94,-72.6,386264.46,"Extant"
"5","Climacteris erythrops","Climacteris_erythrops","Climacteridae","Passeriformes",20.6,10.5,3.1,3.5,21.5,83.3,21,62.2,25.2,64.2,23.3,"Forest",2,"1","Carnivore","Invertivore","Insessorial",-39.14,-25.28,-32.9,150.15,317210.54,"Extant"
"6","Andropadus virens","Andropadus_virens","Pycnonotidae","Passeriformes",13.9,8,4.7,4.3,20.6,74.4,9.8,65.9,12.8,70.8,26.6,"Forest",1,"1","Herbivore","Frugivore","Insessorial",-16.53,13.54,-0.74,16.73,5766996.33,"Extant"
"7","Coracina melas","Coracina_melas","Campephagidae","Passeriformes",24.9,14.2,7.4,7.1,23.2,119,24.3,94.8,20.4,88.7,59.4,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-10.7,0.04,-5.36,141.03,592908.62,"Extant"
"8","Certhia discolor","Certhia_discolor","Certhiidae","Passeriformes",17.6,10.2,2.4,2.6,16.8,68.8,13.2,55.1,19.3,79.2,10.4,"Forest",1,"1","Carnivore","Invertivore","Insessorial",25.12,30.42,28.17,88.48,112131.14,"Extant"
"9","Psalidoprocne pristoptera","Psalidoprocne_pristoptera","Hirundinidae","Passeriformes",9.6,3.3,2.7,1.9,9.2,105.9,52.8,53.1,49.8,80.3,10.3,"Forest",2,"2","Carnivore","Invertivore","Aerial",-34.84,16.74,-4.31,26.84,8277210.72,"Extant"
"10","Pachycephalopsis hattamensis","Pachycephalopsis_hattamensis","Petroicidae","Passeriformes",17.8,10.4,4,5.6,26.9,97.2,19.2,78,19.8,57.5,34.6,"Forest",1,"1","Carnivore","Invertivore","Insessorial",-6.31,-0.4,-3.25,136.86,54021.73,"Extant"
