"","x"
"1","Eupetomena macroura"
"2","Chaetocercus bombus"
"3","Oceanites gracilis"
"4","Chlorostilbon swainsonii"
"5","Campylopterus rufus"
"6","Polemaetus bellicosus"
"7","Eriocnemis luciani"
"8","Abeillia abeillei"
"9","Amazilia viridigaster"
"10","Fregata andrewsi"
"11","Elanus axillaris"
"12","Larus heermanni"
"13","Topaza pella"
"14","Hirundo tahitica"
"15","Eurostopodus mystacalis"
"16","Glaucis hirsutus"
"17","Eriocnemis glaucopoides"
"18","Asio madagascariensis"
"19","Eriocnemis vestita"
"20","Eriocnemis derbyi"
"21","Chlorostilbon lucidus"
"22","Haplophaedia lugens"
"23","Taphrolesbia griseiventris"
"24","Artamus cinereus"
"25","Oceanodroma hornbyi"
"26","Heliothryx barroti"
"27","Anthracothorax viridigula"
"28","Sephanoides sephaniodes"
"29","Heliomaster constantii"
"30","Pseudhirundo griseopyga"
"31","Accipiter tachiro"
"32","Collocalia rogersi"
"33","Nesofregetta fuliginosa"
"34","Glaucis dohrnii"
"35","Phaethornis koepckeae"
"36","Hylocharis sapphirina"
"37","Sterna elegans"
"38","Haliaeetus leucogaster"
"39","Archilochus alexandri"
"40","Oceanodroma tethys"
"41","Hieraaetus ayresii"
"42","Eurostopodus archboldi"
"43","Gygis alba"
"44","Hylocharis humboldtii"
"45","Tachycineta euchrysea"
"46","Chlorostilbon poortmani"
"47","Lesbia victoriae"
"48","Falco concolor"
"49","Eriocnemis nigrivestis"
"50","Collocalia hirundinacea"
"51","Tachymarptis aequatorialis"
"52","Pterodroma baraui"
"53","Circus melanoleucos"
"54","Metallura eupogon"
"55","Chaetura spinicaudus"
"56","Heliodoxa leadbeateri"
"57","Caprimulgus centralasicus"
"58","Amazilia viridicauda"
"59","Milvus migrans"
"60","Chalcostigma heteropogon"
"61","Phaethornis subochraceus"
"62","Colibri delphinae"
"63","Morus capensis"
"64","Leucippus fallax"
"65","Psalidoprocne fuliginosa"
"66","Metallura tyrianthina"
"67","Selasphorus platycercus"
"68","Amazilia tobaci"
"69","Artamus superciliosus"
"70","Apus nipalensis"
"71","Cynanthus latirostris"
"72","Progne chalybea"
"73","Eleothreptus anomalus"
"74","Amazilia leucogaster"
"75","Pterodroma cookii"
"76","Progne subis"
"77","Tachornis phoenicobia"
"78","Goethalsia bella"
"79","Collocalia nuditarsus"
"80","Anthracothorax viridis"
"81","Eurochelidon sirintarae"
"82","Sula sula"
"83","Phaethornis striigularis"
"84","Urosticte ruficrissa"
"85","Phaethornis griseogularis"
"86","Caprimulgus natalensis"
"87","Zoonavena sylvatica"
"88","Opisthoprora euryptera"
"89","Campylopterus hyperythrus"
"90","Caprimulgus europaeus"
"91","Hirundapus giganteus"
"92","Oceanodroma leucorhoa"
"93","Caprimulgus tristigma"
"94","Lophornis gouldii"
"95","Hirundo semirufa"
"96","Rissa tridactyla"
"97","Glareola nordmanni"
"98","Urosticte benjamini"
"99","Selasphorus sasin"
"100","Polyonymus caroli"
"101","Tachornis squamata"
"102","Eurystomus orientalis"
"103","Discosura popelairii"
"104","Caprimulgus ruficollis"
"105","Tachycineta albilinea"
"106","Lophornis adorabilis"
"107","Hirundo atrocaerulea"
"108","Tachycineta cyaneoviridis"
"109","Aglaeactis castelnaudii"
"110","Cypsiurus balasiensis"
"111","Collocalia pelewensis"
"112","Hirundo rustica"
"113","Lophornis stictolophus"
"114","Thalurania ridgwayi"
"115","Apus barbatus"
"116","Sterna acuticauda"
"117","Larus crassirostris"
"118","Lophornis magnificus"
"119","Eriocnemis mosquera"
"120","Anous tenuirostris"
"121","Rynchops albicollis"
