Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Alethe_choloensis,Turdidae,Passeriformes,Alethe choloensis,19.2,10.1,3.9,5.2,28.7,96,17,80,17.5,73,41.3,Forest,1,1,Carnivore,Invertivore,Terrestrial,-16.54,-13.9,-15.48,35.97,4661.03,Extant
Alethe_diademata,Turdidae,Passeriformes,Alethe diademata,18.7,11.5,5,5.3,25.5,89.9,15.3,75.8,16.8,72.2,31.5,Forest,1,1,Carnivore,Invertivore,Generalist,-8.94,12.68,0.98,16.01,3460273.32,Extant
Alethe_fuelleborni,Turdidae,Passeriformes,Alethe fuelleborni,22.4,12.4,5.2,6.2,34.1,105.5,20.6,85,19.5,76.7,52,Forest,1,1,Carnivore,Invertivore,Terrestrial,-20.13,-4.2,-9.38,35.7,189262.11,Extant
Alethe_poliocephala,Turdidae,Passeriformes,Alethe poliocephala,19.2,11,4.6,5.2,27,86.5,14.8,74.6,16.5,56.8,32.4,Forest,1,1,Carnivore,Invertivore,Terrestrial,-10.8,9.54,2.78,12.92,1599692.41,Extant
Alethe_poliophrys,Turdidae,Passeriformes,Alethe poliophrys,18.7,10,4.5,4.9,25.8,93,13.1,79.1,14.2,67,35.2,Forest,1,1,Carnivore,Invertivore,Terrestrial,-4.79,1.38,-2.09,29.24,76094.57,Extant
Brachypteryx_hyperythra,Turdidae,Passeriformes,Brachypteryx hyperythra,13.7,7.9,2.9,3.4,27.4,59.5,6.8,52.7,11.4,39.5,15.8,Forest,2,2,Carnivore,Invertivore,Terrestrial,23.35,28.45,26.49,97.27,41729.77,Extant
Brachypteryx_leucophrys,Turdidae,Passeriformes,Brachypteryx leucophrys,13.5,7.8,3,3.5,26,56.6,7.8,48.8,13.8,34.5,15.8,Forest,1,2,Carnivore,Invertivore,Terrestrial,-10.16,31.64,21.78,103.17,2289506.95,Extant
Brachypteryx_montana,Turdidae,Passeriformes,Brachypteryx montana,15.5,9,3.3,3.9,31,64.3,6.4,58.5,9.9,55.2,17.7,Forest,1,1,Carnivore,Invertivore,Terrestrial,-8.96,34.17,22.26,106.02,3986756.67,Extant
Brachypteryx_stellata,Turdidae,Passeriformes,Brachypteryx stellata,14.8,7.9,3,3.5,29.3,70.6,13.8,55.9,19.8,47.4,23,Forest,2,2,Omnivore,Invertivore,Terrestrial,21.68,33.37,27.81,96.21,237692.15,Extant
Cataponera_turdoides,Turdidae,Passeriformes,Cataponera turdoides,24.7,14.8,5.4,7.1,36.5,110.2,16.6,93.7,15,101,89.7,Forest,1,1,Omnivore,Invertivore,Insessorial,-5.44,-0.44,-2.25,120.32,23212.79,Extant
