species_number,common_name,clade,TreeName_Order,TreeName_Family,TreeName_Genus,TreeName_FINAL,PhyloName,vs_female,vs_male,redpeachpink_facial_skin,genital_notes,red_genitals,red_pelage_head,red_pelage_body_limbs,red_pelage_tail,activity_cycle,social_group_size_orig,social_group_size,multilevel
1,Azara's Night Monkey,Platyrrhine,Primates,Aotidae,Aotus,Aotus azarae,Aotus_azarae_AOTIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,0,1,1,cath,3.27,-0.363793443,0
2,Brumback's Night Monkey,Platyrrhine,Primates,Aotidae,Aotus,Aotus brumbacki,Aotus_brumbacki_AOTIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,0,0,0,noct,3,-0.370430215,NA
3,Grey-Legged Night Monkey,Platyrrhine,Primates,Aotidae,Aotus,Aotus griseimembra,Aotus_griseimembra_AOTIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,0,0,0,noct,3,-0.370430215,NA
4,Hernandez-Camacho's Night Monkey,Platyrrhine,Primates,Aotidae,Aotus,Aotus jorgehernandezi,Aotus_jorgehernandezi_AOTIDAE_PRIMATES,Monochromatic,Monochromatic,NA,0,0,NA,NA,NA,noct,NA,NA,NA
5,Colombian Night Monkey,Platyrrhine,Primates,Aotidae,Aotus,Aotus lemurinus,Aotus_lemurinus_AOTIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,0,0,1,noct,NA,NA,0
6,Andean Night Monkey,Platyrrhine,Primates,Aotidae,Aotus,Aotus miconax,Aotus_miconax_AOTIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,0,1,1,noct,4,-0.345849577,0
7,Nancy Ma's Night Monkey,Platyrrhine,Primates,Aotidae,Aotus,Aotus nancymaae,Aotus_nancymaae_AOTIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,0,1,1,noct,3.4,-0.36059796,0
8,Black-Headed Night Monkey,Platyrrhine,Primates,Aotidae,Aotus,Aotus nigriceps,Aotus_nigriceps_AOTIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,0,1,1,noct,4.1,-0.343391513,0
9,Northern Night Monkey,Platyrrhine,Primates,Aotidae,Aotus,Aotus trivirgatus,Aotus_trivirgatus_AOTIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,0,1,1,noct,2.9,-0.372888279,0
10,Spix's Night Monkey,Platyrrhine,Primates,Aotidae,Aotus,Aotus vociferans,Aotus_vociferans_AOTIDAE_PRIMATES,Monochromatic,Monochromatic,0,0,0,0,1,1,noct,3.3,-0.363056024,0
